date,total_supply,staked,unstaked,bitfinex,bitglobal
2021-06-09,10001865761.361555,5129466039.055198,4872399722.306359,0.0,0.0
2021-06-10,10004477816.267817,5131816862.275097,4872660953.992718,0.0,0.0
2021-06-11,10007090658.048946,5134168445.727228,4872922212.321718,0.0,0.0
2021-06-12,10009702995.206903,5136519557.676671,4873183437.530232,0.0,0.0
2021-06-13,10012317591.229471,5138872726.399887,4873444864.829584,0.0,0.0
2021-06-14,10014932920.144468,5141226449.25969,4873706470.884778,0.0,0.0
2021-06-15,10017547724.21272,5143579689.427131,4873968034.785588,0.0,0.0
2021-06-16,10020164688.817638,5145929964.972807,4874234723.844831,0.0,0.0
2021-06-17,10022781140.940031,5148284727.172831,4874496413.7672,0.0,0.0
2021-06-18,10025398356.93909,5150640185.654832,4874758171.284259,0.0,0.0
2021-06-19,10028017231.878893,5152997236.99003,4875019994.888861,0.0,0.0
2021-06-20,10030636345.677025,5155354455.016758,4875281890.660267,0.0,0.0
2021-06-21,10033255808.084757,5157711970.692025,4875543837.39273,0.0,0.0
2021-06-22,10035875892.375326,5160070115.672581,4875805776.702745,0.0,0.0
2021-06-23,10038496933.927862,5162428992.525231,4876067941.402631,0.0,0.0
2021-06-24,10041118574.657946,5164788522.977506,4876330051.68044,0.0,0.0
2021-06-25,10043740528.208498,5167148153.625743,4876592374.582755,0.0,0.0
2021-06-26,10046363982.024609,5169509338.979109,4876854643.0455,0.0,0.0
2021-06-27,10048987725.517914,5171870665.041923,4877117060.475991,0.0,0.0
2021-06-28,10051612033.101696,5174232544.370779,4877379488.730917,0.0,0.0
2021-06-29,10054237046.15862,5176595028.734436,4877642017.424185,0.0,0.0
2021-06-30,10056862913.81563,5178958335.60492,4877904578.21071,0.0,0.0
2021-07-01,10059487746.875906,5181320523.3517685,4878167223.5241375,0.0,0.0
2021-07-02,10062115839.249763,5183685913.224116,4878429926.025647,0.0,0.0
2021-07-03,10064744021.26794,5186051312.730173,4878692708.5377655,0.0,0.0
2021-07-04,10067372576.74478,5188417100.740103,4878955476.004679,0.0,0.0
2021-07-05,10070001592.73635,5190783123.935044,4879218468.801305,0.0,0.0
2021-07-06,10072630555.530825,5193149059.477973,4879481496.052852,0.0,0.0
2021-07-07,10075262212.846745,5195517675.820451,4879744537.026292,0.0,0.0
2021-07-08,10077892938.125006,5197885309.095801,4880007629.029204,0.0,0.0
2021-07-09,10080524971.81154,5200254145.276041,4880270826.5355,0.0,0.0
2021-07-10,10083157474.634571,5202623381.772106,4880534092.862465,0.0,0.0
2021-07-11,10085791146.924175,5204993686.973669,4880797459.950506,0.0,0.0
2021-07-12,10088425353.904116,5207364495.426354,4881060858.477761,0.0,0.0
2021-07-13,10091059724.70522,5209735389.762776,4881324334.942443,0.0,0.0
2021-07-14,10093695238.331123,5212107422.176279,4881587816.154844,0.0,0.0
2021-07-15,10096331257.583033,5214479788.435363,4881851469.14767,0.0,0.0
2021-07-16,10098967561.211945,5216852445.022422,4882115116.189521,0.0,0.0
2021-07-17,10101605256.548227,5219226366.424957,4882378890.12327,0.0,0.0
2021-07-18,10104243735.475414,5221601049.858073,4882642685.617341,0.0,0.0
2021-07-19,10106882437.355804,5223975869.033835,4882906568.321969,0.0,0.0
2021-07-20,10109521908.912086,5226351435.560642,4883170473.351444,0.0,0.0
2021-07-21,10112161965.873554,5228727430.718491,4883434535.155064,0.0,0.0
2021-07-22,10114802809.332134,5231104185.434563,4883698623.897572,0.0,0.0
2021-07-23,10117444478.912785,5233481710.299704,4883962768.613079,0.0,0.0
2021-07-24,10120086900.35127,5235859863.7526245,4884227036.598646,0.0,0.0
2021-07-25,10122729339.629671,5238238050.152305,4884491289.477368,0.0,0.0
2021-07-26,10125373100.028484,5240617406.047032,4884755693.981452,0.0,0.0
2021-07-27,10128017378.337765,5242997304.150896,4885020074.186869,0.0,0.0
2021-07-28,10130662422.22495,5245377779.392402,4885284642.832549,0.0,0.0
2021-07-29,10133308479.992523,5247759266.014263,4885549213.97826,0.0,0.0
2021-07-30,10135954767.85736,5250140919.765659,4885813848.0917015,0.0,0.0
2021-07-31,10138601951.326397,5252523380.094811,4886078571.231584,0.0,0.0
2021-08-01,10141249693.211235,5254906355.754437,4886343337.4568,0.0,0.0
2021-08-02,10143897936.8725,5257289760.99305,4886608175.879452,0.0,0.0
2021-08-03,10146547281.086376,5259674214.483628,4886873066.602748,0.0,0.0
2021-08-04,10149197172.697617,5262059082.546705,4887138090.150911,0.0,0.0
2021-08-05,10151847398.535624,5264444271.608416,4887403126.92721,0.0,0.0
2021-08-06,10154498708.094296,5266830431.446475,4887668276.647822,0.0,0.0
2021-08-07,10157150241.560877,5269216771.266151,4887933470.294725,0.0,0.0
2021-08-08,10159803356.703655,5271604616.596264,4888198740.107391,0.0,0.0
2021-08-09,10162456805.508568,5273992750.880852,4888464054.627716,0.0,0.0
2021-08-10,10165110661.99179,5276381177.4770775,4888729484.514713,0.0,0.0
