year_month,account,monthly_avg_staked_amount,days_active_in_month,monthly_avg_total_balance,monthly_avg_total_staked
2021-06,2xKDpRzaqUeSEeo3Bcaq7HRKmRaKRoz2KSY7DSsp9qGZdKfiLM,2500.0,6,10030741219.57878,5155366855.65701
2021-06,3CbvrNVpcHpL7tyT2mhXxQwNWHiPNYEJRgp3CMgEcMyXivms6B,402134150.0516137,21,10030741219.57878,5155366855.65701
2021-07,3CbvrNVpcHpL7tyT2mhXxQwNWHiPNYEJRgp3CMgEcMyXivms6B,406874907.27691823,31,10099088878.762686,5216877509.352282
2021-08,3CbvrNVpcHpL7tyT2mhXxQwNWHiPNYEJRgp3CMgEcMyXivms6B,412641369.79802674,31,10181171140.348505,5290752160.320512
2021-09,3CbvrNVpcHpL7tyT2mhXxQwNWHiPNYEJRgp3CMgEcMyXivms6B,418307756.7844999,30,10262578672.732378,5364024005.297078
2021-10,3CbvrNVpcHpL7tyT2mhXxQwNWHiPNYEJRgp3CMgEcMyXivms6B,424060557.58627933,31,10344640790.536222,5437880887.040445
2021-11,3CbvrNVpcHpL7tyT2mhXxQwNWHiPNYEJRgp3CMgEcMyXivms6B,429875825.98140126,30,10427355701.695917,5512330254.395542
2021-12,3CbvrNVpcHpL7tyT2mhXxQwNWHiPNYEJRgp3CMgEcMyXivms6B,435683182.6175008,31,10510735356.275908,5518592096.669585
2022-01,3CbvrNVpcHpL7tyT2mhXxQwNWHiPNYEJRgp3CMgEcMyXivms6B,461738858.3886586,31,10596163291.596704,5506965629.4718275
2022-02,3CbvrNVpcHpL7tyT2mhXxQwNWHiPNYEJRgp3CMgEcMyXivms6B,1062086586.4525663,28,10678096978.251553,8530504721.472508
2022-03,3CbvrNVpcHpL7tyT2mhXxQwNWHiPNYEJRgp3CMgEcMyXivms6B,1071491793.5977758,31,10760674959.36261,8530381296.208062
2022-04,3CbvrNVpcHpL7tyT2mhXxQwNWHiPNYEJRgp3CMgEcMyXivms6B,1081171276.084473,30,10846716341.52058,8716805347.859705
2021-06,3EctbG8WaQkTqZb1NTJPAFnqmuhvW62pQbywvqb9VeyqaFZdzN,402146396.7958091,21,10030741219.57878,5155366855.65701
2021-07,3EctbG8WaQkTqZb1NTJPAFnqmuhvW62pQbywvqb9VeyqaFZdzN,406902703.3067607,31,10099088878.762686,5216877509.352282
2021-08,3EctbG8WaQkTqZb1NTJPAFnqmuhvW62pQbywvqb9VeyqaFZdzN,412641754.1671573,31,10181171140.348505,5290752160.320512
2021-09,3EctbG8WaQkTqZb1NTJPAFnqmuhvW62pQbywvqb9VeyqaFZdzN,418365017.8887401,30,10262578672.732378,5364024005.297078
2021-10,3EctbG8WaQkTqZb1NTJPAFnqmuhvW62pQbywvqb9VeyqaFZdzN,424146497.9094419,31,10344640790.536222,5437880887.040445
2021-11,3EctbG8WaQkTqZb1NTJPAFnqmuhvW62pQbywvqb9VeyqaFZdzN,429935515.07515883,30,10427355701.695917,5512330254.395542
2021-12,3EctbG8WaQkTqZb1NTJPAFnqmuhvW62pQbywvqb9VeyqaFZdzN,435750543.00411767,31,10510735356.275908,5518592096.669585
2022-01,3EctbG8WaQkTqZb1NTJPAFnqmuhvW62pQbywvqb9VeyqaFZdzN,450733505.4368629,31,10596163291.596704,5506965629.4718275
2022-02,3EctbG8WaQkTqZb1NTJPAFnqmuhvW62pQbywvqb9VeyqaFZdzN,716258053.4187409,28,10678096978.251553,8530504721.472508
2022-03,3EctbG8WaQkTqZb1NTJPAFnqmuhvW62pQbywvqb9VeyqaFZdzN,722660957.0311363,31,10760674959.36261,8530381296.208062
2022-04,3EctbG8WaQkTqZb1NTJPAFnqmuhvW62pQbywvqb9VeyqaFZdzN,729230688.7886674,30,10846716341.52058,8716805347.859705
2021-06,3XSLuJcXg6xEua6iBPnWacc3iWh93yEDMCqX8FbE3RDSbEnT9P,1538152688.2199943,21,10030741219.57878,5155366855.65701
2021-07,3XSLuJcXg6xEua6iBPnWacc3iWh93yEDMCqX8FbE3RDSbEnT9P,1556552142.5278606,31,10099088878.762686,5216877509.352282
2021-08,3XSLuJcXg6xEua6iBPnWacc3iWh93yEDMCqX8FbE3RDSbEnT9P,1578631944.3003953,31,10181171140.348505,5290752160.320512
2021-09,3XSLuJcXg6xEua6iBPnWacc3iWh93yEDMCqX8FbE3RDSbEnT9P,1600500954.6378655,30,10262578672.732378,5364024005.297078
2021-10,3XSLuJcXg6xEua6iBPnWacc3iWh93yEDMCqX8FbE3RDSbEnT9P,1622492762.9098332,31,10344640790.536222,5437880887.040445
2021-11,3XSLuJcXg6xEua6iBPnWacc3iWh93yEDMCqX8FbE3RDSbEnT9P,1644618703.7793667,30,10427355701.695917,5512330254.395542
2021-12,3XSLuJcXg6xEua6iBPnWacc3iWh93yEDMCqX8FbE3RDSbEnT9P,1667001877.3258889,31,10510735356.275908,5518592096.669585
2022-01,3XSLuJcXg6xEua6iBPnWacc3iWh93yEDMCqX8FbE3RDSbEnT9P,1691292995.1703014,31,10596163291.596704,5506965629.4718275
2022-02,3XSLuJcXg6xEua6iBPnWacc3iWh93yEDMCqX8FbE3RDSbEnT9P,1035277676.5702151,28,10678096978.251553,8530504721.472508
2022-03,3XSLuJcXg6xEua6iBPnWacc3iWh93yEDMCqX8FbE3RDSbEnT9P,859585507.499682,31,10760674959.36261,8530381296.208062
